GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
00601	166659745	799293	64.348	0.309	18.180555	-66.749961
00602	79307535	4428428	30.621	1.71	18.361945	-67.175597
00603	81884707	183895	31.616	0.071	18.455183	-67.119887
00606	109579998	12487	42.309	0.005	18.158345	-66.932911
00610	93013427	4172060	35.913	1.611	18.295366	-67.125135
00612	175065129	9790062	67.593	3.78	18.402253	-66.711397
00616	29862710	149156	11.53	0.058	18.420412	-66.671979
00617	39355368	3980436	15.195	1.537	18.445147	-66.559696
00622	75090747	1694880	28.993	0.654	17.991245	-67.153993
00623	98351688	1633538	37.974	0.631	18.083361	-67.153897
00624	111794959	2525012	43.164	0.975	18.064919	-66.716683
00627	120058280	3507026	46.355	1.354	18.4126	-66.863926
00631	10414671	669972	4.021	0.259	18.190607	-66.832041
00637	89222632	25323	34.449	0.01	18.076713	-66.947389
00638	171055430	493328	66.045	0.19	18.295913	-66.515588
00641	242243035	3460662	93.531	1.336	18.263085	-66.712985
00646	53682639	3250520	20.727	1.255	18.43315	-66.285875
00647	39379846	8013314	15.205	3.094	17.963613	-66.947127
00650	79052757	557193	30.522	0.215	18.349417	-66.578078
00652	17915345	15537	6.917	0.006	18.448452	-66.594127
00653	39477267	5203941	15.242	2.009	17.985033	-66.886536
00656	83954600	4355104	32.415	1.682	18.053539	-66.792931
00659	108213684	3036871	41.782	1.173	18.407226	-66.808999
00660	29384893	481	11.346	0.	18.134695	-67.116199
00662	114927977	5321070	44.374	2.054	18.46832	-67.015781
00664	117897682	3091	45.521	0.001	18.21033	-66.591616
00667	156212330	28250306	60.314	10.908	18.003422	-67.03581
00669	159419187	168344	61.552	0.065	18.277102	-66.869645
00670	118025319	357845	45.57	0.138	18.240187	-66.988776
00674	116433923	6871698	44.955	2.653	18.422908	-66.489337
00676	130630343	56474	50.437	0.022	18.377637	-67.079574
00677	37137333	3594733	14.339	1.388	18.332568	-67.227022
00678	68274014	3796760	26.361	1.466	18.434099	-66.927384
00680	166308133	19820070	64.212	7.653	18.178225	-67.151514
00682	37304297	6321605	14.403	2.441	18.221464	-67.156039
00683	135165044	29360	52.188	0.011	18.1078	-67.037263
00685	200808246	2058244	77.533	0.795	18.332929	-66.959689
00687	100676181	139537	38.871	0.054	18.319026	-66.420557
00688	82408267	72551	31.818	0.028	18.382311	-66.626416
00690	7292587	11145	2.816	0.004	18.49551	-67.098671
00692	69309238	1998420	26.76	0.772	18.410188	-66.336556
00693	101849431	3643052	39.324	1.407	18.422987	-66.397214
00694	2070446	1957115	0.799	0.756	18.482073	-66.391274
00698	180312873	7761603	69.619	2.997	18.064848	-66.856319
00703	76855347	28383	29.674	0.011	18.248401	-66.130662
